relation	column	type	references	description	version
administrable_role-authorizations	grantee	sql_identifier		Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
administrable_role-authorizations	grantee	sql_identifier		Name of the role to which this role membership was granted (may be the current user, or a different role in case of nested role memberships)	8.2
administrable_role-authorizations	is_grantable	character_data		Always YES	8.2,8.3,8.4
administrable_role-authorizations	is_grantable	yes_or_no		Always YES	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
administrable_role-authorizations	role_name	sql_identifier		Name of a role	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
applicable_roles	grantee	sql_identifier		Always the name of the current user	7.4,8.0,8.1
applicable_roles	grantee	sql_identifier		Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
applicable_roles	grantee	sql_identifier		Name of the role to which this role membership was granted (may be the current user, or a different role in case of nested role memberships)	8.2
applicable_roles	is_grantable	character_data		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1
applicable_roles	is_grantable	character_data		YES if the grantee has the admin option on the role, NO if not	8.2,8.3,8.4
applicable_roles	is_grantable	yes_or_no		YES if the grantee has the admin option on the role, NO if not	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
applicable_roles	role_name	sql_identifier		Name of a group	7.4,8.0,8.1
applicable_roles	role_name	sql_identifier		Name of a role	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	attribute_default	character_data		Default expression of the attribute	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	attribute_name	sql_identifier		Name of the attribute	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	attribute_udt_catalog	sql_identifier		Name of the database that the attribute data type is defined in (always the current database)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	attribute_udt_name	sql_identifier		Name of the attribute data type	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	attribute_udt_schema	sql_identifier		Name of the schema that the attribute data type is defined in	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	character_maximum_length	cardinal_number		If data_type identifies a character or bit string type, the declared maximum length; null for all other data types or if no maximum length was declared	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	character_octet_length	cardinal_number		If data_type identifies a character type, the maximum possible length in octets (bytes) of a datum (this should not be of concern to PostgreSQL users); null for all other data types	8.2,8.3,8.4
attributes	character_octet_length	cardinal_number		If data_type identifies a character type, the maximum possible length in octets (bytes) of a datum; null for all other data types. The maximum octet length depends on the declared character maximum length (see above) and the server encoding	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	character_set_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	character_set_name	sql_identifier		Applies to a feature not available in PostgreSQL	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	character_set_schema	sql_identifier		Applies to a feature not available in PostgreSQL	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	collation_catalog	sql_identifier		Name of the database containing the collation of the attribute (always the current database), null if default or the data type of the attribute is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	collation_catalog	sql_identifier		Not yet implemented	9.1
attributes	collation_name	sql_identifier		Name of the collation of the attribute, null if default or the data type of the attribute is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	collation_name	sql_identifier		Not yet implemented	9.1
attributes	collation_schema	sql_identifier		Name of the schema containing the collation of the attribute, null if default or the data type of the attribute is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	collation_schema	sql_identifier		Not yet implemented	9.1
attributes	data_type	character_data		Data type of the attribute, if it is a built-in type, or ARRAY if it is some array (in that case, see the view element_types), else USER-DEFINED (in that case, the type is identified in attribute_udt_name and associated columns)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	datetime_precision	cardinal_number		If data_type identifies a date, time, or interval type, the declared precision; null for all other data types or if no precision was declared	8.2,8.3
attributes	datetime_precision	cardinal_number		If data_type identifies a date, time, timestamp, or interval type, this column contains the (declared or implicit) fractional seconds precision of the type for this attribute, that is, the number of decimal digits maintained following the decimal point in the seconds value. For all other data types, this column is null	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	dtd_identifier	sql_identifier		An identifier of the data type descriptor of the column, unique among the data type descriptors pertaining to the table. This is mainly useful for joining with other instances of such identifiers. (The specific format of the identifier is not defined and not guaranteed to remain the same in future versions.)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	interval_precision	cardinal_number		Applies to a feature not available in PostgreSQL (see datetime_precision for the fractional seconds precision of interval type attributes)	9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	interval_precision	character_data		Not yet implemented	8.2,8.3,8.4,9.0,9.1
attributes	interval_type	character_data		If data_type identifies an interval type, this column contains the specification which fields the intervals include for this attribute, e.g., YEAR TO MONTH, DAY TO SECOND, etc. If no field restrictions were specified (that is, the interval accepts all fields), and for all other data types, this field is null	9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	interval_type	character_data		Not yet implemented	8.2,8.3,8.4,9.0,9.1
attributes	is_derived_reference_attribute	character_data		Applies to a feature not available in PostgreSQL	8.2,8.3,8.4
attributes	is_derived_reference_attribute	yes_or_no		Applies to a feature not available in PostgreSQL	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	is_nullable	character_data		YES if the attribute is possibly nullable, NO if it is known not nullable	8.2,8.3,8.4
attributes	is_nullable	yes_or_no		YES if the attribute is possibly nullable, NO if it is known not nullable	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	maximum_cardinality	cardinal_number		Always null, because arrays always have unlimited maximum cardinality in PostgreSQL	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	numeric_precision	cardinal_number		If data_type identifies a numeric type, this column contains the (declared or implicit) precision of the type for this attribute. The precision indicates the number of significant digits. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	numeric_precision	cardinal_number		If data_type identifies a numeric type, this column contains the (declared or implicit) precision of the type for this attribute. The precision indicates the number of significant digits. It may be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.2
attributes	numeric_precision_radix	cardinal_number		If data_type identifies a numeric type, this column indicates in which base the values in the columns numeric_precision and numeric_scale are expressed. The value is either 2 or 10. For all other data types, this column is null	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	numeric_scale	cardinal_number		If data_type identifies an exact numeric type, this column contains the (declared or implicit) scale of the type for this attribute. The scale indicates the number of significant digits to the right of the decimal point. It can be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	numeric_scale	cardinal_number		If data_type identifies an exact numeric type, this column contains the (declared or implicit) scale of the type for this attribute. The scale indicates the number of significant digits to the right of the decimal point. It may be expressed in decimal (base 10) or binary (base 2) terms, as specified in the column numeric_precision_radix. For all other data types, this column is null	8.2
attributes	ordinal_position	cardinal_number		Ordinal position of the attribute within the data type (count starts at 1)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	scope_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	scope_name	sql_identifier		Applies to a feature not available in PostgreSQL	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	scope_schema	sql_identifier		Applies to a feature not available in PostgreSQL	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	udt_catalog	sql_identifier		Name of the database containing the data type (always the current database)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	udt_name	sql_identifier		Name of the data type	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
attributes	udt_schema	sql_identifier		Name of the schema containing the data type	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	character_repertoire	sql_identifier		Character repertoire, showing UCS if the encoding is UTF8, else just the encoding name	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	character_set_catalog	sql_identifier		Character sets are currently not implemented as schema objects, so this column is null	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	character_set_name	sql_identifier		Name of the character set, currently implemented as showing the name of the database encoding	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	character_set_schema	sql_identifier		Character sets are currently not implemented as schema objects, so this column is null	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	default_collate_catalog	sql_identifier		Name of the database containing the default collation (always the current database, if any collation is identified)	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	default_collate_name	sql_identifier		Name of the default collation. The default collation is identified as the collation that matches the COLLATE and CTYPE settings of the current database. If there is no such collation, then this column and the associated schema and catalog columns are null	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	default_collate_schema	sql_identifier		Name of the schema containing the default collation	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
character_sets	form_of_use	sql_identifier		Character encoding form, same as the database encoding	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraint-routine-usage	constraint_catalog	sql_identifier		Name of the database containing the constraint (always the current database)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraint-routine-usage	constraint_name	sql_identifier		Name of the constraint	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraint-routine-usage	constraint_schema	sql_identifier		Name of the schema containing the constraint	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraint-routine-usage	specific_catalog	sql_identifier		Name of the database containing the function (always the current database)	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 32.29 for more information	8.2
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 33.29 for more information	8.3
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 33.33 for more information	8.4
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 34.33 for more information	9.0
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 34.38 for more information	9.1
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 34.40 for more information	9.2,9.3,9.4,9.5
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 35.40 for more information	9.6
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 36.40 for more information	10
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 36.41 for more information	12,13
check_constraint-routine-usage	specific_name	sql_identifier		The "specific name" of the function. See Section 37.40 for more information	11
check_constraint-routine-usage	specific_schema	sql_identifier		Name of the schema containing the function	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraints	check_clause	character_data		The check expression of the check constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraints	constraint_catalog	sql_identifier		Name of the database containing the constraint (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraints	constraint_name	sql_identifier		Name of the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
check_constraints	constraint_schema	sql_identifier		Name of the schema containing the constraint	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collation_character-set-applicab	character_set_catalog	sql_identifier		Character sets are currently not implemented as schema objects, so this column is null	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collation_character-set-applicab	character_set_name	sql_identifier		Name of the character set	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collation_character-set-applicab	character_set_schema	sql_identifier		Character sets are currently not implemented as schema objects, so this column is null	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collation_character-set-applicab	collation_catalog	sql_identifier		Name of the database containing the collation (always the current database)	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collation_character-set-applicab	collation_name	sql_identifier		Name of the default collation	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collation_character-set-applicab	collation_schema	sql_identifier		Name of the schema containing the collation	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collations	collation_catalog	sql_identifier		Name of the database containing the collation (always the current database)	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collations	collation_name	sql_identifier		Name of the default collation	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collations	collation_schema	sql_identifier		Name of the schema containing the collation	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
collations	pad_attribute	character_data		Always NO PAD (The alternative PAD SPACE is not supported by PostgreSQL.)	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_column-usage	column_name	sql_identifier		Name of the base column that a generated column depends on	12,13
column_column-usage	dependent_column	sql_identifier		Name of the generated column	12,13
column_column-usage	table_catalog	sql_identifier		Name of the database containing the table (always the current database)	12,13
column_column-usage	table_name	sql_identifier		Name of the table	12,13
column_column-usage	table_schema	sql_identifier		Name of the schema containing the table	12,13
column_domain-usage	column_name	sql_identifier		Name of the column	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_domain-usage	domain_catalog	sql_identifier		Name of the database containing the domain (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_domain-usage	domain_name	sql_identifier		Name of the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_domain-usage	domain_schema	sql_identifier		Name of the schema containing the domain	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_domain-usage	table_catalog	sql_identifier		Name of the database containing the table (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_domain-usage	table_name	sql_identifier		Name of the table	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_domain-usage	table_schema	sql_identifier		Name of the schema containing the table	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_options	column_name	sql_identifier		Name of the column	9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_options	option_name	sql_identifier		Name of an option	9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_options	option_value	character_data		Value of the option	9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_options	table_catalog	sql_identifier		Name of the database that contains the foreign table (always the current database)	9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_options	table_name	sql_identifier		Name of the foreign table	9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_options	table_schema	sql_identifier		Name of the schema that contains the foreign table	9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	column_name	sql_identifier		Name of the column	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	grantee	sql_identifier		Name of the role that the privilege was granted to	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	grantee	sql_identifier		Name of the user or group that the privilege was granted to	7.4,8.0,8.1
column_privileges	grantor	sql_identifier		Name of the role that granted the privilege	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	grantor	sql_identifier		Name of the user that granted the privilege	7.4,8.0,8.1
column_privileges	is_grantable	character_data		YES if the privilege is grantable, NO if not	7.4,8.0,8.1,8.2,8.3,8.4
column_privileges	is_grantable	yes_or_no		YES if the privilege is grantable, NO if not	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	privilege_type	character_data		Type of the privilege: SELECT, INSERT, UPDATE, or REFERENCES	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	table_catalog	sql_identifier		Name of the database that contains the table that contains the column (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	table_name	sql_identifier		Name of the table that contains the column	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_privileges	table_schema	sql_identifier		Name of the schema that contains the table that contains the column	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	column_name	sql_identifier		Name of the column	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	table_catalog	sql_identifier		Name of the database containing the table (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	table_name	sql_identifier		Name of the table	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	table_schema	sql_identifier		Name of the schema containing the table	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	udt_catalog	sql_identifier		Name of the database that the column data type (the underlying type of the domain, if applicable) is defined in (always the current database)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	udt_name	sql_identifier		Name of the column data type (the underlying type of the domain, if applicable)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
column_udt-usage	udt_schema	sql_identifier		Name of the schema that the column data type (the underlying type of the domain, if applicable) is defined in	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	character_maximum_length	cardinal_number		If data_type identifies a character or bit string type, the declared maximum length; null for all other data types or if no maximum length was declared	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	character_octet_length	cardinal_number		If data_type identifies a character type, the maximum possible length in octets (bytes) of a datum (this should not be of concern to PostgreSQL users); null for all other data types	7.4,8.0,8.1,8.2,8.3,8.4
columns	character_octet_length	cardinal_number		If data_type identifies a character type, the maximum possible length in octets (bytes) of a datum; null for all other data types. The maximum octet length depends on the declared character maximum length (see above) and the server encoding	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	character_set_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	character_set_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	character_set_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	collation_catalog	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
columns	collation_catalog	sql_identifier		Name of the database containing the collation of the column (always the current database), null if default or the data type of the column is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	collation_catalog	sql_identifier		Not yet implemented	9.1
columns	collation_name	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
columns	collation_name	sql_identifier		Name of the collation of the column, null if default or the data type of the column is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	collation_name	sql_identifier		Not yet implemented	9.1
columns	collation_schema	sql_identifier		Applies to a feature not available in PostgreSQL	7.4,8.0,8.1,8.2,8.3,8.4,9.0
columns	collation_schema	sql_identifier		Name of the schema containing the collation of the column, null if default or the data type of the column is not collatable	9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	collation_schema	sql_identifier		Not yet implemented	9.1
columns	column_default	character_data		Default expression of the column	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	column_default	character_data		Default expression of the column (null if the current user is not the owner of the table containing the column)	7.4,8.0,8.1
columns	column_name	sql_identifier		Name of the column	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	data_type	character_data		Data type of the column, if it is a built-in type, or ARRAY if it is some array (in that case, see the view element_types), else USER-DEFINED (in that case, the type is identified in udt_name and associated columns). If the column is based on a domain, this column refers to the type underlying the domain (and the domain is identified in domain_name and associated columns)	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13
columns	datetime_precision	cardinal_number		If data_type identifies a date, time, or interval type, the declared precision; null for all other data types or if no precision was declared	7.4,8.0,8.1,8.2,8.3
