db_name	table_name	column_name	column_type	column_nullable	url	notes	versions
snowflakedb	applicable_roles	grantee	text		https://docs.snowflake.com/en/sql-reference/info-schema/applicable_roles.html	role or user to whom the privilege is granted	
snowflakedb	applicable_roles	role_name	text		https://docs.snowflake.com/en/sql-reference/info-schema/applicable_roles.html	name of the role	
snowflakedb	applicable_roles	role_owner	text		https://docs.snowflake.com/en/sql-reference/info-schema/applicable_roles.html	owner of the role	
snowflakedb	applicable_roles	is_grantable	text		https://docs.snowflake.com/en/sql-reference/info-schema/applicable_roles.html	whether this role can be granted to others	
snowflakedb	columns	table_catalog	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	database that the table belongs to	
snowflakedb	columns	table_schema	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	schema that the table belongs to	
snowflakedb	columns	table_name	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	table or view that the column belongs to	
snowflakedb	columns	column_name	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	name of the column	
snowflakedb	columns	ordinal_position	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	ordinal position of the column in the table	
snowflakedb	columns	column_default	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	default value of the column	
snowflakedb	columns	is_nullable	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	‘yes’ if the column may contain null, ‘no’ otherwise	
snowflakedb	columns	data_type	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	data type of the column	
snowflakedb	columns	character_maximum_length	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	maximum length in characters of string columns	
snowflakedb	columns	character_octet_length	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	maximum length in bytes of string columns	
snowflakedb	columns	numeric_precision	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	numeric precision of numeric columns	
snowflakedb	columns	numeric_precision_radix	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	radix of precision of numeric columns	
snowflakedb	columns	numeric_scale	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	scale of numeric columns	
snowflakedb	columns	datetime_precision	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	not applicable for snowflake.	
snowflakedb	columns	interval_type	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	not applicable for snowflake.	
snowflakedb	columns	interval_precision	number		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	not applicable for snowflake.	
snowflakedb	columns	character_set_catalog	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	not applicable for snowflake.	
snowflakedb	columns	character_set_schema	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	not applicable for snowflake.	
snowflakedb	columns	character_set_name	text		https://docs.snowflake.com/en/sql-reference/info-schema/columns.html	not applicable for snowflake.	
