db_name	db_version	table_name	column_name	column_type	url	description
postgres	8.3	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/8.3/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	8.4	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/8.4/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.0	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.0/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.1	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.1/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.2	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.2/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.3	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.3/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.4	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.4/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.5	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.5/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	9.6	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/9.6/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	10	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/10/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
postgres	11	administrable_role_authorizations	grantee	sql_identifier	https://www.postgresql.org/docs/11/infoschema-administrable-role-authorizations.html	Name of the role to which this role membership was granted (can be the current user, or a different role in case of nested role memberships)
